file,kind,layer_type,rnn_type,num_conv_layers,num_layers,filters,kernel_size,pooling,hidden_size,max_length,mode,decoding,test_macro_f1,keras_macro_f1,scratch_macro_f1,prediction_agreement,bleu_4,meteor,seconds_per_image,num_evaluated,final_loss,final_val_loss
/Users/ellipsis/Documents/Seq2SeqIsAllYouNeed/artifacts/captioning/eval_lstm_L1_H32_both_greedy_max20.json,caption_eval,,,,,,,,,20,scratch,greedy,,,,,1.1666701713586031e-05,0.16542126649861166,0.001949512564744699,8091,,
/Users/ellipsis/Documents/Seq2SeqIsAllYouNeed/artifacts/captioning/eval_lstm_L1_H32_both_greedy_max20.json,caption_eval,,,,,,,,,20,keras,greedy,,,,,1.1670262418996694e-05,0.16425673335313906,0.23995232328188973,8091,,
/Users/ellipsis/Documents/Seq2SeqIsAllYouNeed/artifacts/captioning/eval_lstm_L1_H32_scratch_beam_max20.json,caption_eval,,,,,,,,,20,scratch,beam,,,,,7.598468977846188e-06,0.16619390582963364,0.007955208427321715,8091,,
/Users/ellipsis/Documents/Seq2SeqIsAllYouNeed/artifacts/captioning/eval_lstm_L1_H32_scratch_greedy_max12.json,caption_eval,,,,,,,,,12,scratch,greedy,,,,,1.1666701713586031e-05,0.16542126649861166,0.0015498919336825905,8091,,
/Users/ellipsis/Documents/Seq2SeqIsAllYouNeed/artifacts/captioning/eval_lstm_L1_H32_scratch_greedy_max20.json,caption_eval,,,,,,,,,20,scratch,greedy,,,,,1.1666701713586031e-05,0.16542126649861166,0.0017512836903221148,8091,,
/Users/ellipsis/Documents/Seq2SeqIsAllYouNeed/artifacts/captioning/eval_lstm_L1_H32_scratch_greedy_max28.json,caption_eval,,,,,,,,,28,scratch,greedy,,,,,1.1666701713586031e-05,0.16542126649861166,0.002022744706634063,8091,,
/Users/ellipsis/Documents/Seq2SeqIsAllYouNeed/artifacts/captioning/eval_rnn_L1_H32_both_greedy_max20.json,caption_eval,,,,,,,,,20,scratch,greedy,,,,,5.734073126928503e-06,0.13886932065502874,0.0011757665428763998,8091,,
/Users/ellipsis/Documents/Seq2SeqIsAllYouNeed/artifacts/captioning/eval_rnn_L1_H32_both_greedy_max20.json,caption_eval,,,,,,,,,20,keras,greedy,,,,,5.734073126928503e-06,0.13886932065502874,0.18961067482564323,8091,,
/Users/ellipsis/Documents/Seq2SeqIsAllYouNeed/artifacts/captioning/lstm_L1_H32.history.json,training,,lstm,,1,,,,32,12,,,,,,,,,,,3.6964433193206787,3.7941930294036865
/Users/ellipsis/Documents/Seq2SeqIsAllYouNeed/artifacts/captioning/lstm_L1_H64.history.json,training,,lstm,,1,,,,64,12,,,,,,,,,,,3.516491174697876,3.652740240097046
/Users/ellipsis/Documents/Seq2SeqIsAllYouNeed/artifacts/captioning/lstm_L2_H32.history.json,training,,lstm,,2,,,,32,12,,,,,,,,,,,3.776524305343628,3.828280448913574
/Users/ellipsis/Documents/Seq2SeqIsAllYouNeed/artifacts/captioning/lstm_L2_H64.history.json,training,,lstm,,2,,,,64,12,,,,,,,,,,,3.595304250717163,3.696475028991699
/Users/ellipsis/Documents/Seq2SeqIsAllYouNeed/artifacts/captioning/lstm_L3_H32.history.json,training,,lstm,,3,,,,32,12,,,,,,,,,,,3.849555015563965,3.8763437271118164
/Users/ellipsis/Documents/Seq2SeqIsAllYouNeed/artifacts/captioning/lstm_L3_H64.history.json,training,,lstm,,3,,,,64,12,,,,,,,,,,,3.7516651153564453,3.807497262954712
/Users/ellipsis/Documents/Seq2SeqIsAllYouNeed/artifacts/captioning/rnn_L1_H32.history.json,training,,rnn,,1,,,,32,12,,,,,,,,,,,3.851066827774048,3.944945812225342
/Users/ellipsis/Documents/Seq2SeqIsAllYouNeed/artifacts/captioning/rnn_L1_H64.history.json,training,,rnn,,1,,,,64,12,,,,,,,,,,,3.5937981605529785,3.7142045497894287
/Users/ellipsis/Documents/Seq2SeqIsAllYouNeed/artifacts/captioning/rnn_L2_H32.history.json,training,,rnn,,2,,,,32,12,,,,,,,,,,,3.780090808868408,3.8621325492858887
/Users/ellipsis/Documents/Seq2SeqIsAllYouNeed/artifacts/captioning/rnn_L2_H64.history.json,training,,rnn,,2,,,,64,12,,,,,,,,,,,3.620222806930542,3.7351744174957275
/Users/ellipsis/Documents/Seq2SeqIsAllYouNeed/artifacts/captioning/rnn_L3_H32.history.json,training,,rnn,,3,,,,32,12,,,,,,,,,,,3.84977650642395,3.9467318058013916
/Users/ellipsis/Documents/Seq2SeqIsAllYouNeed/artifacts/captioning/rnn_L3_H64.history.json,training,,rnn,,3,,,,64,12,,,,,,,,,,,3.6928839683532715,3.8041903972625732
/Users/ellipsis/Documents/Seq2SeqIsAllYouNeed/artifacts/cnn/conv2d_1x8_k3_max.history.json,training,conv2d,,1,,8,3,max,,,,,0.49365157803762844,,,,,,,,1.202312707901001,1.1477580070495605
/Users/ellipsis/Documents/Seq2SeqIsAllYouNeed/artifacts/cnn/conv2d_2x12-16_k3_max.history.json,training,conv2d,,2,,12-16,3,max,,,,,0.6365629010995989,,,,,,,,0.9424907565116882,0.9119506478309631
/Users/ellipsis/Documents/Seq2SeqIsAllYouNeed/artifacts/cnn/conv2d_2x4-8_k3_max.history.json,training,conv2d,,2,,4-8,3,max,,,,,0.5413266404590674,,,,,,,,1.1011767387390137,1.0874134302139282
/Users/ellipsis/Documents/Seq2SeqIsAllYouNeed/artifacts/cnn/conv2d_2x8-12_k3_average.history.json,training,conv2d,,2,,8-12,3,average,,,,,0.5891350498806723,,,,,,,,1.0379410982131958,1.0071910619735718
/Users/ellipsis/Documents/Seq2SeqIsAllYouNeed/artifacts/cnn/conv2d_2x8-12_k3_max.history.json,training,conv2d,,2,,8-12,3,max,,,,,0.6087570396953893,,,,,,,,0.9821884632110596,0.9574850797653198
/Users/ellipsis/Documents/Seq2SeqIsAllYouNeed/artifacts/cnn/conv2d_2x8-12_k5_max.history.json,training,conv2d,,2,,8-12,5,max,,,,,0.6248391773058087,,,,,,,,0.9880748391151428,0.9807921648025513
/Users/ellipsis/Documents/Seq2SeqIsAllYouNeed/artifacts/cnn/conv2d_2x8-12_k7_max.history.json,training,conv2d,,2,,8-12,7,max,,,,,0.6658134845471069,,,,,,,,0.8945317268371582,0.9021825194358826
/Users/ellipsis/Documents/Seq2SeqIsAllYouNeed/artifacts/cnn/conv2d_3x8-12-16_k3_max.history.json,training,conv2d,,3,,8-12-16,3,max,,,,,0.6840737367242539,,,,,,,,0.8658367395401001,0.8636204600334167
/Users/ellipsis/Documents/Seq2SeqIsAllYouNeed/artifacts/cnn/eval_conv2d_1x8_k3_max.json,cnn_scratch_eval,conv2d,,1,,8,3,max,,,,,,0.49365157803762844,0.49365157803762844,1.0,,,,3000,,
/Users/ellipsis/Documents/Seq2SeqIsAllYouNeed/artifacts/cnn/locally_connected_1x8_k3_max.history.json,training,locally_connected,,1,,8,3,max,,,,,0.5007107810357646,,,,,,,,1.2446982860565186,1.2324066162109375
